日付,決算,証憑,コード,科目名,コード,補助名,コード,部門名,税コード,税率,コード,科目名,コード,補助名,コード,部門名,税コード,税率,金額,消費税,摘要,取引先,メモ,事務所メモ
2024/10/21,,,1112,普通預金,1,,    ,,810,,1142,売掛金,3173,,    ,,810,,1760,,売掛の入金　手数料売上,川崎市中部児童相談所,,
2024/10/21,,,1112,普通預金,1,,    ,,810,,1142,売掛金,2047,,    ,,810,,126368,,売掛の入金　手数料売上,京浜総合病院,,
2024/10/21,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3059,,    ,,810,,28787,,売掛の入金　手数料売上,ブリヂストンリテールジャパン,,
2024/10/21,,,1112,普通預金,2,,    ,,810,,1142,売掛金,2543,,    ,,810,,34078,,売掛の入金　手数料売上,ブリヂストンタイヤソリューション,,
2024/10/21,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3060,,    ,,810,,28523,,売掛の入金　手数料売上,太陽第一幼稚園,,
2024/10/21,,,6231,雑費,    ,,0,共通部門,511,10,1142,売掛金,2047,,    ,,810,,800,80,振込手数料,,,
2024/10/22,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3010,,    ,,810,,11550,,売掛の入金　手数料売上,井出紙工,,
2024/10/22,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3104,,    ,,810,,1309,,売掛の入金　手数料売上,イイデヨシコ,,
2024/10/24,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3022,,    ,,810,,1408,,売掛の入金　手数料売上,小笠原会計事務所,,
2024/10/24,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3201,,    ,,810,,2200,,売掛の入金　手数料売上,オールマイト㈱,,
2024/10/24,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3134,,    ,,810,,7084,,売掛の入金　手数料売上,フローラル夢木香,,
2024/10/25,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3107,,    ,,810,,2816,,売掛の入金　手数料売上,㈲水谷建築設計事務所,,
2024/10/25,,,1112,普通預金,2,,    ,,810,,1142,売掛金,3041,,    ,,810,,20922,,売掛の入金　手数料売上,亀ヶ谷モータース,,
